,Age,Gender,Position,TotalYearsExperience,YearsExperienceGermany,Seniority,MainSkill,SecondarySkills,BrutSalary,BrutSalaryAndStocks,AnnualBrutLastYear,AnnualBrutAndStocksLastYear,VacationDays,Employment,ContractDuration,CompanySize,CompanyType,LossOfJobCorona,HoursIfShorterWeek,AdditionalMonetarySupport
278,34.0,Male,ML Engineer,12.0,3.0,Senior,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",90000.0,5000.0,80000.0,5000.0,27,Full-time employee,Unlimited contract,1000+,Product,No,13.566568047337277,500.0
279,28.0,Male,Backend Developer,7.0,1.0,Senior,PHP,"Javascript / Typescript, .NET, SQL, Azure, Kubernetes, Docker",70000.0,5000.0,65000.0,5000.0,30,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
280,32.56893542757417,Male,Data Engineer,7.5,1.5,Middle,SQL,"Python, SQL, AWS, Kubernetes, Docker",68000.0,500.0,48000.0,0.0,30,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
281,39.0,Male,DBA,17.0,5.0,Senior,Oracle,SQL,64000.0,70000.0,65000.0,5000.0,28,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,500.0
282,30.0,Male,Backend Developer,7.0,2.0,Senior,Ruby,"Javascript / Typescript, SQL, Go, AWS, Docker",72000.0,0.0,66000.0,0.0,25,Full-time employee,Unlimited contract,11-50,Product,No,0.0,0.0
283,34.0,Male,DevOps,12.0,2.0,Senior,Java,"Go, AWS, Kubernetes, Docker",70000.0,0.0,65000.0,5000.0,25,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,1000.0
284,35.0,Male,Support Engineer,10.0,4.0,Senior,PHP,"SQL, AWS, Docker",63500.0,63500.0,60000.0,60000.0,28,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
285,34.0,Male,Frontend Developer,10.0,3.0,Senior,"Angular, React","Python, Javascript / Typescript, Docker",68000.0,0.0,68000.0,0.0,40,Full-time employee,Unlimited contract,11-50,Startup,No,30.0,0.0
286,34.0,Male,Software Engineer,12.0,2.0,Lead,.net,"Javascript / Typescript, .NET, SQL, Azure",78000.0,8000.0,64000.0,70000.0,36,Full-time employee,Unlimited contract,1000+,Product,No,0.0,0.0
287,38.0,Male,Software Engineer,13.0,6.0,Lead,Java,Kotlin,89570.0,20240.0,82240.0,18000.0,30,Full-time employee,Unlimited contract,1000+,Product,No,0.0,500.0
